G65	G70	99.999900
G25	G31	99.622214
G84	G95	99.566495
G49	G54	99.464308
G90	G65	99.276394
G49	G50	99.259115
G14	G16	99.210193
G77	G98	99.197790
G100	G79	99.170852
G5	G6	99.129165
G24	G25	99.073462
G98	G82	99.071206
G40	G43	99.068981
G61	G51	99.066633
G40	G44	99.062008
G34	G36	99.061430
G72	G81	99.058188
G2	G4	99.055879
G74	G58	99.053132
G97	G20	99.050568
G51	G61	99.047620
G91	G92	99.037343
G1	G2	99.032680
G77	G82	99.031831
G79	G100	99.028778
G72	G78	99.027522
G45	G41	99.027481
G84	G99	99.027360
G16	G14	99.026868
G84	G96	99.026438
G5	G14	99.026201
G98	G55	99.025400
G2	G1	99.025238
G20	G25	98.024258
G31	G25	98.024058
G94	G69	98.024036
G87	G84	98.023437
G50	G49	98.021111
G54	G100	98.020590
G88	G87	98.020230
G6	G20	98.020126
G80	G91	98.020038
G21	G11	98.019428
G82	G77	98.018927
G43	G42	98.018926
G32	G85	98.018548
G7	G17	98.018404
G22	G93	97.017820
G33	G16	97.017468
G70	G79	97.017446
G86	G68	97.017433
G83	G60	97.017242
G37	G44	97.017018
G80	G92	97.016955
G89	G98	97.016666
G95	G86	97.016181
G98	G77	97.016093
G95	G84	97.015899
G86	G95	97.015864
G85	G60	96.015057
G17	G14	96.014988
G89	G92	96.014639
G5	G8	96.014463
G43	G44	96.014424
G69	G55	96.014239
G34	G85	96.014127
G45	G38	96.014051
G81	G53	96.013871
G1	G4	96.013870
G2	G45	96.013864
G33	G59	96.013857
G73	G21	96.013797
G10	G38	95.013691
G89	G91	95.013626
G12	G69	95.013571
G17	G15	95.013527
G99	G20	95.013510
G72	G57	95.013472
G4	G78	95.013435
G100	G54	95.013425
G77	G89	95.013337
G85	G74	95.012982
G10	G68	94.012741
G40	G42	94.012674
G54	G88	94.012621
G96	G99	94.012586
G3	G82	94.012545
G90	G59	94.012538
G5	G2	94.012427
G69	G64	94.012374
G97	G12	93.012353
G72	G10	93.012311
G29	G30	93.012234
G98	G93	93.012101
G54	G52	93.012020
G28	G31	93.012008
G1	G45	93.011982
G22	G85	92.011947
G59	G1	92.011924
G97	G80	92.011915
G29	G36	92.011890
G50	G53	92.011798
G92	G89	92.011780
G2	G41	92.011746
G92	G91	92.011742
G21	G73	92.011715
G78	G55	92.011707
G29	G9	92.011646
G97	G56	92.011639
G80	G77	92.011630
G28	G24	91.011613
G20	G24	91.011553
G47	G18	91.011515
G54	G49	91.011484
G45	G71	91.011441
G88	G80	91.011427
G27	G39	91.011410
G44	G42	91.011409
G94	G55	91.011396
G51	G7	91.011396
G96	G65	91.011389
G85	G87	91.011378
G18	G12	91.011376
G89	G36	90.011352
G79	G53	90.011349
G80	G72	90.011336
G81	G78	90.011334
G61	G98	90.011307
G69	G13	90.011251
G5	G83	90.011241
G20	G22	90.011202
G72	G74	90.011192
G62	G88	90.011188
G8	G59	90.011183
G93	G37	90.011169
G55	G18	90.011161
G84	G76	90.011150
G36	G41	90.011146
G37	G34	89.011135
G58	G75	89.011103
G94	G98	89.011086
G73	G51	89.011074
G92	G81	89.011036
G100	G49	89.011032
G41	G57	89.011027
G19	G57	89.011013
G87	G41	89.011001
G12	G17	89.010995
G30	G34	89.010961
G92	G82	88.010929
G20	G23	88.010854
G86	G21	88.010840
G78	G46	88.010821
G94	G4	87.010800
G100	G75	87.010794
G94	G82	87.010791
G29	G87	87.010790
G5	G29	87.010771
G93	G22	87.010763
G23	G63	87.010731
G93	G76	87.010719
G32	G16	87.010714
G23	G8	86.010711
G39	G18	86.010681
G63	G32	86.010681
G8	G35	86.010656
G57	G1	86.010637
G55	G94	86.010623
G74	G72	86.010615
G18	G43	85.010602
G10	G65	85.010592
G14	G5	85.010589
G77	G78	85.010587
G11	G80	85.010569
G82	G18	85.010568
G51	G49	85.010559
G54	G75	85.010558
G87	G78	85.010557
G5	G19	85.010551
G63	G35	85.010545
G87	G38	85.010537
G44	G5	85.010528
G67	G85	85.010520
G37	G40	84.010516
G98	G81	84.010516
G79	G30	84.010507
G72	G52	84.010499
G18	G20	84.010489
G17	G73	84.010478
G64	G68	84.010477
G38	G87	84.010474
G21	G86	84.010460
G9	G26	84.010457
G80	G13	84.010453
G83	G76	84.010443
G10	G56	83.010433
G75	G13	83.010432
G47	G46	83.010422
G78	G96	83.010419
G43	G41	83.010417
G80	G6	83.010417
G14	G17	83.010411
G13	G93	83.010401
G10	G37	83.010401
G11	G76	82.010385
G57	G4	82.010376
G39	G27	82.010364
G64	G73	82.010363
G41	G56	82.010363
G22	G21	82.010356
G63	G23	82.010354
G71	G16	82.010346
G13	G48	82.010336
G87	G30	81.010319
G19	G34	81.010314
G57	G15	81.010307
G27	G29	81.010296
G88	G85	81.010295
G2	G8	81.010283
G83	G74	81.010274
G40	G36	81.010271
G35	G58	80.010269
G68	G97	80.010250
G58	G44	80.010239
G19	G45	80.010237
G99	G84	80.010237
G60	G80	80.010232
G92	G98	79.010216
G99	G46	79.010214
G93	G57	79.010187
G67	G47	78.010184
G41	G24	78.010181
G42	G43	78.010177
G19	G88	78.010171
G97	G47	78.010170
G22	G13	78.010168
G83	G41	78.010164
G44	G11	78.010163
G41	G88	78.010159
G77	G94	78.010154
G60	G69	78.010153
G8	G63	78.010153
G64	G32	78.010151
G46	G89	77.010138
G70	G90	77.010136
G80	G78	77.010129
G28	G69	77.010128
G81	G96	77.010124
G71	G97	77.010124
G53	G78	77.010119
G26	G9	77.010118
G66	G76	76.010110
G56	G71	76.010102
G41	G47	76.010095
G55	G62	76.010094
G87	G45	76.010094
G52	G46	75.010089
G79	G49	75.010089
G65	G62	75.010082
G27	G85	75.010079
G60	G67	75.010076
G21	G25	75.010072
G74	G37	75.010071
G82	G55	75.010062
G100	G51	75.010062
G63	G51	74.010051
G19	G97	74.010049
G36	G88	74.010034
G14	G1	73.010000
G33	G1	73.010000
G39	G1	73.010000
G46	G1	73.010000
G53	G1	73.010000
G56	G1	73.010000
G73	G1	73.010000
G85	G1	73.010000
G99	G1	73.010000
G1	G3	72.010000
G4	G3	72.010000
G20	G3	72.010000
G22	G2	72.010000
G44	G2	72.010000
G8	G4	71.010000
G78	G3	71.010000
G78	G4	71.010000
G84	G3	71.010000
G96	G3	71.010000
G2	G5	70.010000
G2	G6	70.010000
G4	G5	70.010000
G6	G5	70.010000
G9	G5	70.010000
G9	G6	70.010000
G10	G5	70.010000
G11	G6	70.010000
G19	G5	70.010000
G23	G5	70.010000
G39	G5	70.010000
G83	G5	70.010000
G21	G7	69.010000
G46	G7	69.010000
G59	G6	69.010000
G4	G8	68.010000
G13	G8	68.010000
G14	G8	68.010000
G35	G8	68.010000
G49	G7	68.010000
G52	G7	68.010000
G54	G7	68.010000
G62	G8	68.010000
G72	G8	68.010000
G75	G7	68.010000
G100	G7	68.010000
G5	G10	67.010000
G6	G9	67.010000
G9	G10	67.010000
G15	G9	67.010000
G20	G9	67.010000
G21	G9	67.010000
G24	G9	67.010000
G34	G9	67.010000
G39	G9	67.010000
G81	G9	67.010000
G85	G8	67.010000
G88	G8	67.010000
G6	G11	66.010000
G8	G11	66.010000
G19	G10	66.010000
G37	G10	66.010000
G68	G10	66.010000
G76	G11	66.010000
G4	G12	65.010000
G6	G13	65.010000
G15	G12	65.010000
G15	G13	65.010000
G33	G12	65.010000
G41	G12	65.010000
G48	G12	65.010000
G67	G12	65.010000
G68	G12	65.010000
G69	G12	65.010000
G73	G12	65.010000
G92	G11	65.010000
G8	G14	64.010000
G21	G14	64.010000
G39	G13	64.010000
G48	G13	64.010000
G13	G15	63.010000
G18	G15	63.010000
G30	G15	63.010000
G39	G15	63.010000
G48	G15	63.010000
G60	G15	63.010000
G63	G15	63.010000
G10	G16	62.010000
G13	G17	62.010000
G41	G16	62.010000
G43	G16	62.010000
G64	G16	62.010000
G72	G16	62.010000
G83	G16	62.010000
G6	G18	61.010000
G20	G18	61.010000
G26	G18	61.010000
G27	G18	61.010000
G30	G18	61.010000
G47	G17	61.010000
G52	G17	61.010000
G63	G18	61.010000
G10	G19	60.010000
G16	G19	60.010000
G34	G19	60.010000
G39	G19	60.010000
G57	G19	60.010000
G71	G19	60.010000
G79	G18	60.010000
G83	G18	60.010000
G86	G18	60.010000
G87	G18	60.010000
G90	G18	60.010000
G8	G20	59.010000
G9	G21	59.010000
G11	G21	59.010000
G12	G20	59.010000
G15	G20	59.010000
G20	G21	59.010000
G23	G21	59.010000
G57	G20	59.010000
G58	G20	59.010000
G85	G20	59.010000
G96	G19	59.010000
G96	G20	59.010000
G98	G20	59.010000
G13	G22	58.010000
G21	G22	58.010000
G24	G22	58.010000
G25	G22	58.010000
G27	G21	58.010000
G66	G21	58.010000
G68	G21	58.010000
G76	G21	58.010000
G89	G21	58.010000
G8	G23	57.010000
G21	G23	57.010000
G25	G23	57.010000
G47	G23	57.010000
G52	G22	57.010000
G70	G22	57.010000
G71	G22	57.010000
G74	G23	57.010000
G77	G23	57.010000
G78	G23	57.010000
G9	G24	56.010000
G9	G25	56.010000
G26	G24	56.010000
G31	G24	56.010000
G36	G24	56.010000
G47	G24	56.010000
G50	G24	56.010000
G72	G24	56.010000
G79	G24	56.010000
G94	G24	56.010000
G99	G24	56.010000
G22	G25	55.010000
G23	G25	55.010000
G24	G26	55.010000
G25	G26	55.010000
G26	G25	55.010000
G28	G25	55.010000
G28	G26	55.010000
G31	G26	55.010000
G32	G25	55.010000
G89	G25	55.010000
G32	G27	54.010000
G35	G27	54.010000
G38	G27	54.010000
G45	G26	54.010000
G67	G27	54.010000
G96	G26	54.010000
G3	G29	53.010000
G24	G28	53.010000
G25	G28	53.010000
G31	G28	53.010000
G85	G27	53.010000
G8	G29	52.010000
G14	G29	52.010000
G15	G29	52.010000
G15	G30	52.010000
G19	G29	52.010000
G33	G30	52.010000
G39	G30	52.010000
G41	G29	52.010000
G41	G30	52.010000
G55	G29	52.010000
G70	G29	52.010000
G73	G29	52.010000
G86	G29	52.010000
G24	G31	51.010000
G26	G31	51.010000
G74	G30	51.010000
G80	G30	51.010000
G83	G31	51.010000
G1	G33	50.010000
G5	G33	50.010000
G25	G32	50.010000
G27	G32	50.010000
G37	G33	50.010000
G38	G32	50.010000
G39	G32	50.010000
G35	G34	49.010000
G45	G33	49.010000
G53	G33	49.010000
G73	G33	49.010000
G79	G33	49.010000
G84	G33	49.010000
G88	G33	49.010000
G99	G33	49.010000
G69	G61	48.052207
G34	G35	48.010000
G56	G35	48.010000
G78	G35	48.010000
G79	G35	48.010000
G83	G35	48.010000
G91	G34	48.010000
G97	G34	48.010000
G96	G95	47.050024
G7	G36	47.010000
G13	G37	47.010000
G16	G37	47.010000
G24	G36	47.010000
G30	G37	47.010000
G35	G37	47.010000
G36	G37	47.010000
G44	G36	47.010000
G44	G37	47.010000
G46	G37	47.010000
G64	G36	47.010000
G96	G36	47.010000
G27	G38	46.010000
G39	G38	46.010000
G56	G37	46.010000
G56	G38	46.010000
G61	G38	46.010000
G62	G37	46.010000
G65	G37	46.010000
G71	G38	46.010000
G78	G38	46.010000
G96	G37	46.010000
G66	G59	45.026968
G46	G60	45.015451
G82	G4	45.015333
G20	G97	45.014361
G9	G39	45.010000
G18	G40	45.010000
G30	G40	45.010000
G32	G39	45.010000
G34	G40	45.010000
G38	G39	45.010000
G44	G39	45.010000
G97	G38	45.010000
G99	G39	45.010000
G8	G87	44.060582
G99	G95	44.014826
G12	G41	44.010000
G42	G40	44.010000
G58	G40	44.010000
G59	G41	44.010000
G72	G41	44.010000
G94	G40	44.010000
G16	G43	43.010000
G25	G42	43.010000
G78	G42	43.010000
G85	G41	43.010000
G52	G87	42.017493
G65	G40	42.014881
G3	G44	42.010000
G3	G45	42.010000
G8	G45	42.010000
G15	G44	42.010000
G16	G45	42.010000
G41	G43	42.010000
G42	G44	42.010000
G44	G43	42.010000
G94	G44	42.010000
G55	G98	41.030598
G64	G66	41.013405
G90	G94	41.011984
G12	G46	41.010000
G34	G45	41.010000
G36	G46	41.010000
G39	G46	41.010000
G44	G45	41.010000
G48	G45	41.010000
G55	G46	41.010000
G67	G46	41.010000
G85	G45	41.010000
G96	G45	41.010000
G44	G46	40.013303
G12	G48	40.010000
G13	G47	40.010000
G20	G47	40.010000
G23	G47	40.010000
G24	G47	40.010000
G65	G47	40.010000
G74	G46	40.010000
G81	G47	40.010000
G85	G47	40.010000
G86	G46	40.010000
G91	G46	40.010000
G96	G46	40.010000
G7	G49	39.010000
G30	G48	39.010000
G46	G48	39.010000
G47	G48	39.010000
G52	G49	39.010000
G53	G49	39.010000
G56	G48	39.010000
G72	G48	39.010000
G75	G48	39.010000
G79	G48	39.010000
G92	G48	39.010000
G55	G69	38.029909
G58	G74	38.020772
G3	G84	38.012394
G61	G91	38.011784
G31	G96	38.011147
G24	G50	38.010000
G34	G50	38.010000
G52	G50	38.010000
G53	G50	38.010000
G55	G50	38.010000
G58	G49	38.010000
G75	G49	38.010000
G17	G71	37.024400
G84	G78	37.011708
G66	G64	37.011476
G7	G52	37.010000
G44	G51	37.010000
G48	G51	37.010000
G49	G51	37.010000
G50	G51	37.010000
G52	G51	37.010000
G54	G51	37.010000
G58	G51	37.010000
G75	G51	37.010000
G76	G51	37.010000
G100	G50	37.010000
G81	G52	36.014166
G78	G95	36.011411
G6	G53	36.010000
G49	G52	36.010000
G50	G52	36.010000
G51	G52	36.010000
G53	G52	36.010000
G55	G52	36.010000
G76	G52	36.010000
G78	G52	36.010000
G95	G52	36.010000
G100	G52	36.010000
G40	G77	35.012480
G81	G82	35.012156
G89	G64	35.010876
G49	G53	35.010000
G51	G54	35.010000
G52	G53	35.010000
G53	G54	35.010000
G55	G53	35.010000
G56	G53	35.010000
G69	G53	35.010000
G75	G54	35.010000
G78	G53	35.010000
G61	G69	34.013420
G57	G72	34.012562
G39	G76	34.012362
G71	G2	34.011985
G93	G82	34.010836
G59	G66	34.010559
G14	G55	34.010000
G53	G55	34.010000
G57	G55	34.010000
G61	G55	34.010000
G71	G55	34.010000
G72	G55	34.010000
G74	G55	34.010000
G76	G55	34.010000
G77	G55	34.010000
G83	G54	34.010000
G78	G29	33.010895
G36	G90	33.010787
G69	G91	33.010472
G9	G57	33.010000
G35	G57	33.010000
G46	G56	33.010000
G60	G56	33.010000
G69	G56	33.010000
G94	G90	32.012312
G92	G73	32.011627
G20	G88	32.010755
G87	G88	32.010642
G77	G97	32.010422
G1	G58	32.010000
G22	G58	32.010000
G48	G57	32.010000
G56	G57	32.010000
G71	G57	32.010000
G73	G58	32.010000
G75	G58	32.010000
G85	G57	32.010000
G86	G57	32.010000
G76	G66	31.012783
G17	G65	31.012710
G97	G64	31.012139
G72	G79	31.010961
G86	G87	31.010630
G73	G92	31.010576
G5	G60	31.010000
G7	G60	31.010000
G28	G59	31.010000
G29	G60	31.010000
G32	G59	31.010000
G41	G59	31.010000
G44	G59	31.010000
G47	G59	31.010000
G57	G59	31.010000
G93	G59	31.010000
G80	G48	30.055946
G26	G59	30.013357
G1	G94	30.011102
G99	G29	30.010878
G62	G92	30.010419
G37	G61	30.010000
G38	G60	30.010000
G45	G61	30.010000
G46	G61	30.010000
G57	G61	30.010000
G84	G60	30.010000
G88	G60	30.010000
G94	G60	30.010000
G96	G60	30.010000
G82	G53	29.015029
G21	G64	29.011829
G37	G69	29.011362
G78	G74	29.010960
G78	G82	29.010720
G15	G89	29.010382
G63	G84	29.010276
G3	G62	29.010000
G8	G62	29.010000
G19	G62	29.010000
G21	G62	29.010000
G33	G62	29.010000
G36	G62	29.010000
G37	G62	29.010000
G59	G62	29.010000
G60	G62	29.010000
G71	G61	29.010000
G91	G61	29.010000
G92	G61	29.010000
G98	G61	29.010000
G13	G41	28.028729
G9	G44	28.026313
G8	G60	28.012158
G80	G61	28.011885
G33	G74	28.010926
G26	G76	28.010791
G47	G78	28.010640
G16	G93	28.010299
G81	G93	28.010274
G16	G63	28.010000
G32	G63	28.010000
G34	G63	28.010000
G51	G63	28.010000
G61	G63	28.010000
G64	G63	28.010000
G83	G63	28.010000
G93	G62	28.010000
G95	G63	28.010000
G18	G79	27.041907
G2	G44	27.021785
G4	G48	27.017596
G7	G87	27.013114
G97	G70	27.010871
G6	G71	27.010837
G13	G64	27.010000
G13	G65	27.010000
G16	G64	27.010000
