G8	G7	10.999900
G2	G7	10.799836
G5	G2	10.763399
G9	G4	10.560378
G10	G1	9.389400
G2	G6	9.328027
G7	G2	8.287318
G1	G5	8.274637
G5	G1	8.272205
G9	G3	8.260248
G5	G10	7.230603
G10	G6	6.227716
G3	G1	6.220057
G10	G4	6.203444
G9	G6	5.201213
G10	G5	5.195794
G4	G8	4.168267
G3	G5	4.149228
G2	G8	3.739883
G7	G10	3.474677
G6	G2	3.112147
G4	G2	3.094806
G2	G5	2.666971
G4	G9	1.842970
G8	G2	1.478386
G3	G8	1.343598
G5	G9	0.897056
G3	G10	0.438614
G7	G6	0.417325
G10	G3	0.375796
G5	G4	0.360201
G7	G3	0.325564
G9	G5	0.315572
G2	G10	0.304305
G6	G7	0.293438
G1	G4	0.287669
G7	G1	0.283482
G1	G3	0.275757
G9	G1	0.275590
G8	G4	0.260877
G6	G3	0.259030
G8	G10	0.258687
G2	G1	0.256414
G4	G6	0.254514
G4	G1	0.252415
G5	G8	0.251462
G8	G6	0.248990
G8	G3	0.248537
G4	G5	0.234966
G8	G1	0.224330
G3	G6	0.223076
G5	G3	0.221829
G2	G3	0.219899
G1	G6	0.216981
G5	G6	0.216670
G10	G2	0.212176
G6	G9	0.198993
G7	G8	0.198757
G6	G4	0.193347
G9	G10	0.188355
G6	G10	0.185083
G9	G8	0.185037
G6	G8	0.179383
G3	G4	0.178131
G8	G5	0.176462
G9	G2	0.176185
G6	G5	0.166308
G6	G1	0.160620
G2	G4	0.155461
G7	G5	0.154575
G3	G2	0.154151
G1	G10	0.149011
G4	G3	0.147852
G1	G8	0.143021
G7	G4	0.135004
G10	G8	0.125104
G2	G9	0.113420
G4	G10	0.105178
G7	G9	0.104702
G10	G7	0.088130
G10	G9	0.086140
G3	G7	0.063887
G1	G2	0.055944
G3	G9	0.040627
G1	G9	0.035427
G5	G7	0.033776
G9	G7	0.033199
G4	G7	0.022345
G8	G9	0.015176
G1	G7	0.000000
